delay,md5_hash_1,md5_hash_2,ttc1,ttc2,jfi
0,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20842623710632324,0.16454577445983887,0.98634726208523
0,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.21471095085144043,0.1842970848083496,0.9942235103164698
0,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.21238279342651367,0.15623188018798828,0.9773219319529282
0,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.18960213661193848,0.14783477783203125,0.9849101317328739
0,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.21625781059265137,0.17341828346252441,0.9880583482499451
20,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19638276100158691,0.3134922981262207,0.9498893528704668
20,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19429731369018555,0.31661033630371094,0.9457928454810903
20,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20829129219055176,0.3254101276397705,0.9540558144597436
20,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.1886904239654541,0.31035804748535156,0.9438966205502227
20,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.2393949031829834,0.36603569984436035,0.9580800898203028
40,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.1961381435394287,0.474200963973999,0.8531937922136087
40,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.1991128921508789,0.4700937271118164,0.8591308173276274
40,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.2033388614654541,0.4777064323425293,0.8603644441124709
40,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19811582565307617,0.4765803813934326,0.8544506428790432
40,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19868993759155273,0.476593017578125,0.8551674130943584
60,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20120906829833984,0.63118577003479,0.7893732616726569
60,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19886350631713867,0.639869213104248,0.7834131421248505
60,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20444321632385254,0.6385581493377686,0.790396739424656
60,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.2230360507965088,0.643561840057373,0.8094034394168558
60,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19977402687072754,0.6381704807281494,0.7851030653167703
80,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19170022010803223,0.7933034896850586,0.7283158033798044
80,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20345115661621094,0.7985422611236572,0.739248137720481
80,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.2231450080871582,0.8134481906890869,0.7551216197394963
80,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.21090054512023926,0.8050501346588135,0.7451476299210815
80,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.23621106147766113,0.8117251396179199,0.7682807277664857
100,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19619059562683105,0.9531188011169434,0.6974736209858483
100,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.19725656509399414,0.9475669860839844,0.6995251244594202
100,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.1979818344116211,0.9635047912597656,0.6971564826950427
100,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20144438743591309,0.9607455730438232,0.7008451784118366
100,98af4c282ea9a824229485185c682a96,98af4c282ea9a824229485185c682a96,0.20392251014709473,0.9561488628387451,0.7039958657067196
